Election Year,Conservative,Labour,Scottish National Party,Liberal Democrats,Plaid Cymru,Green Party,UKIP/Brexit Party/Reform UK,Other
2024,8.771929825,64.9122807,15.78947368,10.52631579,0,0,0,0
2019,10.17,1.69,81.36,6.78,0,0,0,0
2017,22.03,11.86,59.32,6.78,0,0,0,0
2015,1.69,1.69,94.92,1.69,0,0,0,0
2010,1.69,69.49,10.17,18.64,0,0,0,0
2005,1.69,69.49,10.17,18.64,0,0,0,0
2001,1.39,77.78,6.94,13.89,0,0,0,0
1997,0,77.78,8.33,13.89,0,0,0,0
